Sensor,0,4,wrist,Orientation
Sensor,1,4,palm,Orientation
Sensor,2,4,thumb,Orientation
Sensor,3,4,index,Orientation
Sensor,4,4,mid,Orientation
Sensor,5,4,ring,Orientation
Sensor,6,4,pinky,Orientation
20,100,0.78955078125,-0.1497802734375,-0.3505859375,0.48090012886642947
21,100,0.8060302734375,-0.24810791015625,-0.23779296875,0.4818839769417828
22,100,0.08135986328125,-0.26470947265625,-0.3038330078125,0.9115892556938765
16,104,0.610595703125,-0.47125244140625,-0.41943359375,0.47871649671584926
17,104,0.08135986328125,-0.26470947265625,-0.3038330078125,0.9115892556938765
18,104,0.1026611328125,-0.10333251953125,-0.1400146484375,0.9793768327053185
19,104,0.102294921875,-0.32177734375,-0.07733154296875,0.9380911056341246
20,105,0.789794921875,-0.167724609375,-0.349609375,0.47525332371544304
21,105,0.802978515625,-0.26513671875,-0.2554931640625,0.46866967784622837
22,105,0.0888671875,-0.276123046875,-0.3037109375,0.9075342155605911
16,114,0.60650634765625,-0.4737548828125,-0.408203125,0.49099548878194876
17,114,0.0888671875,-0.276123046875,-0.3037109375,0.9075342155605911
18,114,0.0989990234375,-0.1181640625,-0.13189697265625,0.9792035724485659
19,114,0.10443115234375,-0.32318115234375,-0.07293701171875,0.9377250500607635
20,118,0.7916259765625,-0.18756103515625,-0.34619140625,0.4672265848185777
21,118,0.7998046875,-0.28411865234375,-0.27105712890625,0.45400119615756435
22,118,0.0927734375,-0.290771484375,-0.3011474609375,0.9034131059153889
16,122,0.60369873046875,-0.4757080078125,-0.4019775390625,0.49765830870461536
17,122,0.0927734375,-0.290771484375,-0.3011474609375,0.9034131059153889
18,122,0.099365234375,-0.13470458984375,-0.13055419921875,0.9772086904745472
19,122,0.1036376953125,-0.31951904296875,-0.080810546875,0.938422327528715
20,129,0.79412841796875,-0.20849609375,-0.343017578125,0.4563204748449285
21,129,0.797119140625,-0.30157470703125,-0.28302001953125,0.43994708803765037
22,129,0.09326171875,-0.30731201171875,-0.29742431640625,0.8991108692922389
