Sensor,0,4,wrist,Orientation
Sensor,1,4,palm,Orientation
Sensor,2,4,thumb,Orientation
Sensor,3,4,index,Orientation
Sensor,4,4,mid,Orientation
Sensor,5,4,ring,Orientation
Sensor,6,4,pinky,Orientation
1,0,-0.06964111328125,-0.000244140625,0.6827392578125,0.72735595703125
2,0,0.05303955078125,-0.0003662109375,0.58905029296875,0.806396484375
3,0,-0.00738525390625,-0.0003662109375,0.58636474609375,0.80999755859375
4,6,0.03411865234375,-0.000244140625,0.6273193359375,0.77801513671875
5,6,-0.082763671875,-0.000244140625,0.6728515625,0.73516845703125
6,6,-0.089599609375,-0.0003662109375,0.73388671875,0.67333984375
1,12,-0.06964111328125,-0.000244140625,0.6827392578125,0.72735595703125
2,12,0.05303955078125,-0.0003662109375,0.58905029296875,0.806396484375
3,12,-0.00738525390625,-0.0003662109375,0.58636474609375,0.80999755859375
4,16,0.03411865234375,-0.000244140625,0.6273193359375,0.77801513671875
5,16,-0.082763671875,-0.000244140625,0.6728515625,0.73516845703125
6,16,-0.089599609375,-0.0003662109375,0.73388671875,0.67333984375
1,23,-0.06964111328125,-0.000244140625,0.6827392578125,0.72735595703125
2,23,0.05303955078125,-0.0003662109375,0.58905029296875,0.806396484375
3,23,-0.00738525390625,-0.0003662109375,0.58636474609375,0.80999755859375
4,26,0.03411865234375,-0.000244140625,0.6273193359375,0.77801513671875
5,26,-0.082763671875,-0.000244140625,0.6728515625,0.73516845703125
6,27,-0.089599609375,-0.0003662109375,0.73388671875,0.67333984375
1,32,-0.06964111328125,-0.000244140625,0.6827392578125,0.72735595703125
2,33,0.05303955078125,-0.0003662109375,0.58905029296875,0.806396484375
3,33,-0.00738525390625,-0.0003662109375,0.58636474609375,0.80999755859375
4,36,0.03411865234375,-0.000244140625,0.6273193359375,0.77801513671875
5,37,-0.082763671875,-0.000244140625,0.6728515625,0.73516845703125
6,37,-0.089599609375,-0.0003662109375,0.73388671875,0.67333984375
1,42,-0.06964111328125,-0.000244140625,0.6827392578125,0.72735595703125
2,43,0.05303955078125,-0.0003662109375,0.58905029296875,0.806396484375
3,43,-0.00738525390625,-0.0003662109375,0.58636474609375,0.80999755859375
4,46,0.03411865234375,-0.000244140625,0.6273193359375,0.77801513671875
5,46,-0.082763671875,-0.000244140625,0.6728515625,0.73516845703125
6,46,-0.089599609375,-0.0003662109375,0.73388671875,0.67333984375
1,50,-0.06964111328125,-0.000244140625,0.6827392578125,0.72735595703125
2,50,0.05303955078125,-0.0003662109375,0.58905029296875,0.806396484375
3,50,-0.00738525390625,-0.0003662109375,0.58636474609375,0.80999755859375
4,56,0.03411865234375,-0.000244140625,0.6273193359375,0.77801513671875
5,56,-0.082763671875,-0.000244140625,0.6728515625,0.73516845703125
6,56,-0.089599609375,-0.0003662109375,0.73388671875,0.67333984375
1,62,-0.06964111328125,-0.000244140625,0.6827392578125,0.72735595703125
2,62,0.05303955078125,-0.0003662109375,0.58905029296875,0.806396484375
3,63,-0.00738525390625,-0.0003662109375,0.58636474609375,0.80999755859375
4,66,0.03411865234375,-0.000244140625,0.6273193359375,0.77801513671875
5,66,-0.082763671875,-0.000244140625,0.6728515625,0.73516845703125
6,66,-0.089599609375,-0.0003662109375,0.73388671875,0.67333984375
1,72,-0.06964111328125,-0.000244140625,0.6827392578125,0.72735595703125
2,72,0.05303955078125,-0.0003662109375,0.58905029296875,0.806396484375
3,72,-0.00738525390625,-0.0003662109375,0.58636474609375,0.80999755859375
4,76,0.03411865234375,-0.000244140625,0.6273193359375,0.77801513671875
5,76,-0.082763671875,-0.000244140625,0.6728515625,0.73516845703125
6,76,-0.089599609375,-0.0003662109375,0.73388671875,0.67333984375
1,83,-0.06964111328125,-0.000244140625,0.6827392578125,0.72735595703125
2,83,0.05303955078125,-0.0003662109375,0.58905029296875,0.806396484375
3,83,-0.00738525390625,-0.0003662109375,0.58636474609375,0.80999755859375
4,86,0.03411865234375,-0.000244140625,0.6273193359375,0.77801513671875
5,86,-0.082763671875,-0.000244140625,0.6728515625,0.73516845703125
6,86,-0.089599609375,-0.0003662109375,0.73388671875,0.67333984375
1,92,-0.06964111328125,-0.000244140625,0.6827392578125,0.72735595703125
2,93,0.05303955078125,-0.0003662109375,0.58905029296875,0.806396484375
3,93,-0.00738525390625,-0.0003662109375,0.58636474609375,0.80999755859375
4,96,0.03411865234375,-0.000244140625,0.6273193359375,0.77801513671875
5,96,-0.082763671875,-0.000244140625,0.6728515625,0.73516845703125
6,97,-0.089599609375,-0.0003662109375,0.73388671875,0.67333984375
1,100,-0.06964111328125,-0.000244140625,0.6827392578125,0.72735595703125
2,100,0.05303955078125,-0.0003662109375,0.58905029296875,0.806396484375
3,100,-0.00738525390625,-0.0003662109375,0.58636474609375,0.80999755859375
