Sensor,0,4,wrist,Orientation
Sensor,1,4,palm,Orientation
Sensor,2,4,thumb,Orientation
Sensor,3,4,index,Orientation
Sensor,4,4,mid,Orientation
Sensor,5,4,ring,Orientation
Sensor,6,4,pinky,Orientation
1,0,-0.01153564453125,0.63623046875,0.272705078125,0.7215576171875
2,0,0.02508544921875,0.57403564453125,0.0716552734375,0.8153076171875
3,0,0.00634765625,0.62457275390625,0.08880615234375,0.77587890625
4,6,0.038330078125,0.56048583984375,0.15118408203125,0.8133544921875
5,6,0.0577392578125,0.6480712890625,0.2059326171875,0.73089599609375
6,6,0.1055908203125,0.63775634765625,0.25091552734375,0.72052001953125
1,10,-0.0048828125,0.62481689453125,0.26751708984375,0.7335205078125
2,10,0.034423828125,0.56201171875,0.066162109375,0.82373046875
3,11,0.0159912109375,0.61346435546875,0.08355712890625,0.78515625
4,12,0.04718017578125,0.5482177734375,0.1461181640625,0.8221435546875
5,12,0.06683349609375,0.63739013671875,0.20184326171875,0.7406005859375
6,12,0.11273193359375,0.6253662109375,0.24737548828125,0.7314453125
1,23,0.0028076171875,0.614013671875,0.262939453125,0.74420166015625
2,23,0.04461669921875,0.5509033203125,0.061279296875,0.83111572265625
3,23,0.0264892578125,0.6031494140625,0.07904052734375,0.79327392578125
4,24,0.05694580078125,0.5367431640625,0.14154052734375,0.829833984375
5,24,0.076416015625,0.62750244140625,0.19879150390625,0.7489013671875
6,24,0.12078857421875,0.61346435546875,0.24432373046875,0.7412109375
1,33,0.0111083984375,0.60400390625,0.25946044921875,0.75347900390625
2,34,0.05511474609375,0.5408935546875,0.0576171875,0.8372802734375
3,34,0.037353515625,0.5938720703125,0.07568359375,0.80010986328125
4,36,0.06719970703125,0.5263671875,0.1380615234375,0.8363037109375
5,36,0.08612060546875,0.61865234375,0.19708251953125,0.75567626953125
6,37,0.13824462890625,0.59228515625,0.24151611328125,0.75616455078125
1,43,0.0196533203125,0.59503173828125,0.25750732421875,0.76104736328125
2,43,0.06573486328125,0.53216552734375,0.05548095703125,0.84228515625
3,44,0.04815673828125,0.58575439453125,0.07379150390625,0.8056640625
4,48,0.0775146484375,0.51708984375,0.13604736328125,0.84149169921875
5,48,0.09613037109375,0.61090087890625,0.1966552734375,0.76080322265625
6,48,0.1473388671875,0.5833740234375,0.24188232421875,0.76123046875
1,51,0.02880859375,0.5872802734375,0.25677490234375,0.76702880859375
2,52,0.07647705078125,0.52490234375,0.0546875,0.845947265625
3,52,0.05914306640625,0.5791015625,0.0731201171875,0.809814453125
4,55,0.087890625,0.50921630859375,0.1353759765625,0.84539794921875
5,55,0.10675048828125,0.6046142578125,0.1971435546875,0.7642822265625
6,55,0.1473388671875,0.5833740234375,0.24188232421875,0.76123046875
1,61,0.0390625,0.5809326171875,0.2569580078125,0.7713623046875
2,61,0.08782958984375,0.51934814453125,0.05487060546875,0.8482666015625
3,62,0.070556640625,0.5740966796875,0.073486328125,0.81243896484375
4,63,0.09881591796875,0.50286865234375,0.13580322265625,0.847900390625
5,63,0.11846923828125,0.59991455078125,0.1983642578125,0.7659912109375
6,63,0.15716552734375,0.5758056640625,0.2431640625,0.76458740234375
1,72,0.05059814453125,0.57598876953125,0.2578125,0.7740478515625
2,72,0.0999755859375,0.5157470703125,0.05584716796875,0.84906005859375
3,72,0.0828857421875,0.5709228515625,0.0745849609375,0.81341552734375
4,76,0.110595703125,0.49835205078125,0.136962890625,0.848876953125
5,76,0.131103515625,0.59686279296875,0.20013427734375,0.765869140625
6,76,0.18035888671875,0.56536865234375,0.2474365234375,0.76593017578125
1,82,0.06329345703125,0.57269287109375,0.25933837890625,0.77508544921875
2,82,0.1129150390625,0.5140380859375,0.0574951171875,0.84832763671875
3,82,0.09588623046875,0.56964111328125,0.0762939453125,0.812744140625
4,86,0.12322998046875,0.49578857421875,0.13885498046875,0.848388671875
5,86,0.1444091796875,0.595458984375,0.20245361328125,0.763916015625
6,86,0.193359375,0.56256103515625,0.250244140625,0.76385498046875
1,94,0.076904296875,0.571044921875,0.2613525390625,0.7744140625
2,94,0.12640380859375,0.51434326171875,0.05975341796875,0.84613037109375
3,95,0.10931396484375,0.5701904296875,0.07861328125,0.8104248046875
4,99,0.136474609375,0.4951171875,0.141357421875,0.8463134765625
5,99,0.15814208984375,0.59564208984375,0.2052001953125,0.76031494140625
6,99,0.2069091796875,0.56134033203125,0.25341796875,0.76019287109375
1,100,0.0908203125,0.571044921875,0.26373291015625,0.7720947265625
2,100,0.13995361328125,0.5164794921875,0.06256103515625,0.84246826171875
3,100,0.12286376953125,0.572509765625,0.08135986328125,0.8065185546875
4,106,0.1500244140625,0.49627685546875,0.14434814453125,0.84283447265625
5,106,0.17144775390625,0.59716796875,0.20843505859375,0.75531005859375
6,107,0.22021484375,0.56158447265625,0.2569580078125,0.75506591796875
1,112,0.10443115234375,0.57208251953125,0.2667236328125,0.7685546875
2,112,0.15289306640625,0.52008056640625,0.06597900390625,0.83770751953125
3,113,0.13568115234375,0.576171875,0.08477783203125,0.801513671875
4,114,0.16314697265625,0.4990234375,0.14794921875,0.838134765625
5,115,0.18341064453125,0.5997314453125,0.21221923828125,0.7493896484375
6,115,0.22021484375,0.56158447265625,0.2569580078125,0.75506591796875
1,122,0.1168212890625,0.57415771484375,0.27032470703125,0.763916015625
2,122,0.1644287109375,0.524658203125,0.07000732421875,0.83233642578125
3,123,0.14703369140625,0.58074951171875,0.08868408203125,0.7957763671875
4,126,0.17498779296875,0.50286865234375,0.152099609375,0.83270263671875
